City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,kitgum,3.2783,32.8867,294.36,88,92,1.3,UG,1694714139
150,hadibu,12.65,54.0333,300.05,74,17,8.21,YE,1694713551
151,kegeyli shahar,42.7767,59.6078,291.2,48,84,5.88,UZ,1694714139
152,keflavik,64.0049,-22.5624,286.1,71,0,6.17,IS,1694713554
153,punta arenas,-53.15,-70.9167,280.21,53,40,10.29,CL,1694713900
154,magog,45.2668,-72.1491,290.54,76,47,5.66,CA,1694713973
155,uyar,55.81,94.3153,284.15,86,78,2.43,RU,1694714140
156,praia da vitoria,38.7333,-27.0667,296.9,88,75,4.3,PT,1694714140
157,naze,28.3667,129.4833,299.66,85,28,4.07,JP,1694713574
158,yiyang,28.5892,112.3283,294.43,94,100,1.79,CN,1694714140
159,haiku-pauwela,20.9219,-156.3051,298.73,82,20,4.12,US,1694713854
160,invercargill,-46.4,168.35,279.83,84,64,4.92,NZ,1694713541
161,brzesko,49.9691,20.6061,291.85,81,100,2.36,PL,1694714141
162,oriximina,-1.7656,-55.8661,310.44,25,21,3.74,BR,1694714141
163,shingu,33.7333,135.9833,297.24,93,90,2.11,JP,1694714141
164,fengxiang,47.5833,130.8333,284.82,86,17,1.68,CN,1694714141
165,baardheere,2.3446,42.2764,302.93,54,86,11.27,SO,1694714141
166,labasa,-16.4167,179.3833,296.21,92,70,2.72,FJ,1694714141
167,bilibino,68.0546,166.4372,272.97,83,78,1.68,RU,1694714142
168,murzuq,25.9155,13.9184,303.42,17,0,4.66,LY,1694713586
169,kalianget,-7.05,113.9333,299.55,64,6,5.83,ID,1694714142
170,la passe,45.5549,-0.8967,299.28,68,2,3.01,FR,1694714142
171,balabac,7.9868,117.0645,299.62,83,99,2.92,PH,1694714142
172,quincy,42.2529,-71.0023,298.99,55,20,4.63,US,1694713998
173,el idrissia,34.4454,2.5275,298.78,35,99,6.06,DZ,1694714142
174,yellowknife,62.456,-114.3525,285.6,96,100,2.57,CA,1694714143
175,rio grande,-32.035,-52.0986,289.21,69,53,5.71,BR,1694714143
176,kupang,-10.1667,123.5833,299.47,65,14,5.66,ID,1694714143
177,queenstown,-31.8976,26.8753,289.39,11,16,2.91,ZA,1694713577
178,barah,13.7,30.3667,308.45,29,22,0.65,SD,1694714143
179,hacienda huancane,-15.8222,-70.8856,286.3,8,23,3.35,PE,1694714143
180,tahe,52.3333,124.7333,281.29,88,83,3.03,CN,1694713559
181,chui,-33.6971,-53.4616,287.41,61,17,2.67,UY,1694714144
182,mazatlan,23.2167,-106.4167,305.88,60,24,1.79,MX,1694714008
183,al ghayzah,16.2079,52.176,300.46,88,43,3.57,YE,1694714144
184,vadso,70.0744,29.7487,279.64,93,40,3.09,NO,1694714144
185,chonchi,-42.6128,-73.8092,284.88,97,100,5.59,CL,1694713564
186,dori,14.0354,-0.0345,308.04,36,100,2.38,BF,1694714144
187,papatowai,-46.5619,169.4708,279.34,84,83,8.56,NZ,1694714144
188,dadukou,26.5479,101.7054,292.37,82,1,0.65,CN,1694714145
189,varzea grande,-15.6467,-56.1325,294.08,83,100,3.6,BR,1694714031
190,tazacorte,28.629,-17.9293,297.69,73,40,8.23,ES,1694713566
191,tazovsky,67.4667,78.7,284.45,88,81,5.5,RU,1694714145
192,antalaha,-14.9003,50.2788,294.47,90,30,3.35,MG,1694714145
193,arenapolis,-14.4503,-56.8461,304.76,44,100,1.85,BR,1694713596
194,trudovoye,43.3058,132.0817,282.0,100,0,2.0,RU,1694714145
195,bukittinggi,-0.3091,100.3706,291.95,96,42,0.52,ID,1694714145
196,magdagachi,53.45,125.8,278.77,91,87,4.07,RU,1694714146
197,infantes,38.7367,-3.0122,297.05,46,62,6.24,ES,1694714146
198,sovetskaya gavan',48.9723,140.2878,284.75,66,13,2.15,RU,1694714146
199,shubarshi,48.5872,57.1869,289.92,48,60,1.44,KZ,1694714146
200,grants,35.1473,-107.8514,293.28,45,0,0.0,US,1694714146
201,iguaba grande,-22.8392,-42.2289,301.17,61,0,4.12,BR,1694714146
202,luorong,24.4058,109.6086,294.88,93,100,1.67,CN,1694714146
203,abha,18.2164,42.5053,298.05,50,20,2.06,SA,1694714147
204,riyadh,24.6877,46.7219,310.23,10,7,5.36,SA,1694714103
205,ancud,-41.8697,-73.8203,284.49,97,100,12.03,CL,1694714147
206,huasahuasi,-11.3167,-75.6167,284.62,53,48,4.49,PE,1694714147
207,st. john's,47.5649,-52.7093,292.47,94,100,7.2,CA,1694713851
208,wahpeton,46.2652,-96.6059,295.55,53,75,1.54,US,1694714022
209,havre,49.5833,0.3333,292.78,82,0,3.6,FR,1694714147
210,jonquiere,48.4165,-71.2488,292.21,74,91,2.57,CA,1694714022
211,nabire,-3.3667,135.4833,297.03,91,100,0.83,ID,1694714148
212,portland,45.5234,-122.6762,297.03,66,0,3.09,US,1694713565
213,utrik,11.2278,169.8474,301.36,78,32,6.88,MH,1694714148
214,remire-montjoly,4.9167,-52.2667,306.17,58,75,3.09,GF,1694714148
215,betio village,1.358,172.9211,301.17,70,61,0.58,KI,1694714148
216,flying fish cove,-10.4217,105.6791,296.97,88,75,7.2,CX,1694714148
217,huarmey,-10.0681,-78.1522,294.88,72,78,4.71,PE,1694714149
218,bubaque,11.2833,-15.8333,301.4,78,96,4.42,GW,1694714149
219,namibe,-15.1961,12.1522,290.88,88,40,1.67,AO,1694713555
220,isla mujeres,21.2311,-86.731,304.91,70,53,3.31,MX,1694714149
221,palmer,42.1584,-72.3287,297.12,52,20,4.12,US,1694714149
222,ulsan,35.5372,129.3167,295.4,97,100,2.86,KR,1694714149
223,nhamunda,-2.1861,-56.7131,314.14,17,31,2.21,BR,1694714149
224,ust-nera,64.5667,143.2,274.01,91,56,2.16,RU,1694714149
225,kapuskasing,49.4169,-82.4331,290.2,48,20,6.69,CA,1694713582
226,tefe,-3.3542,-64.7114,306.21,62,40,3.6,BR,1694714150
227,kuraymah,18.55,31.85,309.94,15,18,8.19,SD,1694714150
228,arizona city,32.7559,-111.671,308.1,21,0,0.89,US,1694714150
229,antsohihy,-14.8796,47.9875,298.88,58,80,2.59,MG,1694714150
230,nyurba,63.2842,118.3319,274.27,95,80,2.39,RU,1694713572
231,east london,-33.0153,27.9116,289.67,77,0,1.54,ZA,1694713558
232,demba,-5.51,22.2667,295.95,80,96,1.04,CD,1694714150
233,higuera de zaragoza,25.95,-109.2833,308.0,45,0,3.49,MX,1694714151
234,dawson creek,55.7666,-120.2362,287.95,38,0,4.12,CA,1694714151
235,weno,7.4515,151.8468,301.81,72,100,1.56,FM,1694714151
236,luderitz,-26.6481,15.1594,287.76,67,0,7.21,NA,1694714151
237,swakopmund,-22.6833,14.5333,290.62,79,27,4.02,NA,1694714151
238,kavieng,-2.5744,150.7967,300.41,81,96,7.96,PG,1694714151
239,sabang,5.8933,95.3214,300.97,77,99,2.76,ID,1694714151
240,faliraki,36.3398,28.1994,301.13,70,20,8.23,GR,1694714152
241,la punta,-33.1837,-66.3127,296.29,13,25,6.76,AR,1694714152
242,hovd,48.0056,91.6419,284.24,39,61,1.99,MN,1694714152
243,touros,-5.1989,-35.4608,301.41,63,16,8.12,BR,1694714152
244,maghar,32.8898,35.407,299.11,73,0,2.17,IL,1694714152
245,kailua-kona,19.6406,-155.9956,300.1,72,0,2.57,US,1694714012
246,floro,61.5996,5.0328,284.8,87,75,6.69,NO,1694713595
247,galliano,29.4422,-90.2992,307.04,51,0,4.12,US,1694714152
248,preobrazheniye,42.9019,133.9064,287.77,73,0,2.36,RU,1694713587
249,kenai,60.5544,-151.2583,282.09,95,100,1.54,US,1694713872
250,uturoa,-16.7333,-151.4333,298.51,77,100,9.65,PF,1694714153
251,hamilton,39.1834,-84.5333,298.58,51,75,4.12,US,1694714074
252,el sauzal de rodriguez,31.9,-116.6833,295.05,70,22,3.29,MX,1694714153
253,novyy urengoy,66.0833,76.6333,286.06,72,75,4.21,RU,1694714153
254,kovdor,67.5662,30.4758,280.42,96,94,1.34,RU,1694714153
255,jevargi,17.0167,76.7667,300.3,64,98,7.78,IN,1694714154
256,kamyaran,34.7956,46.9355,293.78,36,0,1.31,IR,1694714154
257,taoudenni,22.6783,-3.9836,315.77,9,2,3.16,ML,1694714154
258,workington,54.6425,-3.5441,288.05,84,99,2.7,GB,1694714154
259,qamdo,31.1667,97.2333,274.76,64,11,0.65,CN,1694714154
260,priob'ye,62.5206,65.5964,286.46,75,16,2.49,RU,1694714154
261,angaur state,6.906,134.13,300.95,78,100,4.94,PW,1694714154
262,quata,-22.2475,-50.6983,290.08,56,100,4.76,BR,1694714155
263,santana,-0.0583,-51.1817,307.25,46,20,4.63,BR,1694714155
264,neftcala,39.3742,49.2472,294.05,66,56,3.19,AZ,1694714155
